"k,k",kb. huruf yang kesebelas dari abjad Inggris.
"k.o., ko","[knockout] kb. Sl.; pukulan yang membuat tidak berdaya. -kkt. menggulingkan, menjatuhkan."
k.p.,[Kitchen Police] kb. 1 tugas dapur (tentara). 2 prajurit yang bertugas di dapur.
kaiser,"kb. kaisar, maharaja."
kale,"kb. sayur hijau, semacam kanggkung atau bayam."
kaleidoscope,kb. kaledoskop.
kaleidoscopic,ks. senantiasa berubah-ubah dengan cepat.
kalsomine,kb. = CALCIMINE.
kangaroo,kb. kangguru. Inf.: k. court pengadilan yang tak sah.
kans.,[Kansas] negarabagian di A.S.
kaolin,kb. tanah liat yang dipakai untuk membuat porselen.
kapok,kb. kapok.
karat,kb. = CARAT.
katydid,kb. tonggeret.
kayak,kb. sampan kecil dipergunakan oleh orang Eskimo.
kayo,kb. Sl.: pukulan knockout. -kkt. Sl.: memukul dengan kuat dan keras sehingga orang jatuh pingsan.
keel,"kb. lunas. k. laying perletakan lunas. -kki. to k. over 1 jatuh pingsan. 2 terbalik, terjungkel (of a ship)."
keen,"ks. 1 tajam (of knife, rezor blade, sense of humor). 2 tekun, giat. 3 keras. 4 hebat, sengit. -keenly kk. dengan/secara teliti/tajam."
keenness,"kb. 1 ketajaman (otak/pikiran, pendengaran dsb). His k. is well-known Ketajaman otaknya sangat terkenal. 2 kegemaran. k. for hiking kegemaran melakukan perjalanan kaki."
keep,"kb. pencaharian, nafkah. to work for o's k. bekerja mencari nafkah. -kkt. (kept). 1 menjaga. 2 memelihara  (children). 3 membuat catatan (books, records). 4 menyimpan. 5 menerima. 6 menunjukkan. 7 turut. 8 menahan. 9 terus. -keeping kb. pemeliharaan ."
keeper,"kb. 1 pengawas, penjaga. 2 pemelihara (of bees). 3 kurator (of manuscripts). 4 pengurus,pengusaha (of an inn)."
keepsake,"kb. tandamata, kenang-kenangan."
keg,kb. tong.
ken,"kb. pengetahuan, penglihatan. beyond o's k. diluar pengetahuannya."
kennel,kb. kandang (anjing).
kept,lih  KEEP.
kerchief,kb. 1 kain kepala. 2 sapu-tangan.
kernel,"kb. 1 (stone, pit) biji. 2 inti. a k. of truth setitik kebenaran."
kerosene,kb. minyak tanah.
kerplunk,"kk., kseru. gedebak, gedebuk. It went k. Gedebuk bunyinya.."
ketchup,kb. =  CATSUP.
kettle,kb. ceret. That's a fine/pretty k. of fish ! keadaannya kacau-balau !
kettledrum,kb. genderang terbuat dari kuningan/tembaga yang cekung yang ditutup dengan kulit.
key,"kb. 1 kunci. 2 (piano) tuts, mata piano. 3 tombol jari (typewriter). 4 petunjuk, pedoman, buku jawaban (to a texbook). 5 Mus.: (kunci) nada. 6 batu karang, pulau rendah. -ks. pokok. 2 utama, penting. -kkt. menyetem."
keyboard,kb. 1 papan tuts/mata (of a piano). 2 papan tombol jari (of a typewriter).
keyhole,kb. lubang kunci. k. saw gergaji pelubang tempat kunci.
keynote,"kb. 1 dasar pikiran, garis pokok. 2 inti, sari, tema. k. address pidato pokok/dasar/utama. -kkt. menyampaikan garis-garis pokok."
keystone,kb. dasar (keimanan).
khaki,"kb. dril, (kain) kepar."
kibitz,kki. Inf.: orang yang suka ikut-campur dalam urusan orang lain.
kibosh,"kb. Sl.: 1 omong kosong, bukan-bukan. 2 rintangan, penghalang. to put the k. on s.o./s.t. 1 menahan, menghalangi. 2 menyelesaikan seseorang, sesuatu."
kick,"kb. 1 tendangan (of horse). 2 sentakan (of gun). 3 Sports : sepak. 4 Inf.: keluhan. 5 perangsang. 6 Sl.: getaran hati, sensasi."
kickback,kb. Sl.: 1 pembayaran kembali. 2 reaksi.
kicker,kb. 1 orang yang menyepak bola. 2 Inf.: orang yang suka mengeluh.
kickoff,"kb. Inf.: pembukaan, permulaan (of a compaign, football)."
kid,"kb. 1 anak. 2 anak kambing. -ks. muda. -kkt. (kidded) memperolok-olok, mempermain- mainkan. Inf.: to k. o.s. membohongi dirinya sendiri. -kki. memperolok-olok"
kiddie,#NAME?
kiddy,"kb. (j. -dies) kanak-kanak, anak muda. k. car kereta roda tiga mainan anak-anak."
kidnap,kkt. (kidnapped) menculik. -kidnapping kb. penculikan.
kidnap(per),kb. penculik.
kidney,kb. ginjal. k. bean kacang merah. kidney-shaped ks. berbentuk ginjal/ lonjong (table).
kill,"kb. mangsa. -kkt. 1 membunuh (person, animal). 2 menghilangkan. 3 menolak. 4 mematikan (engine). 5 mematahkan, melumpuhkan.  -kki. membunuh. -killing kb. 1 keuntungan besar(on stock market). 2 pembunuhan. ks. hebat, keras."
killer,kb. pembunuh. Sl.: k. diller seorang atau sesuatu yang menggemparkan. k. whale semacam ikan paus.
killjoy,kb. orang yang suka merusak kesenangan orang lain.
kiln,kb. tempat/alat pembakaran/ pengeringan.
kilo,kb. 1 kilogram. 2 kilometer.
kilocycle,kb. kilosaikel.
kilogram,kb. kilogram.
kilometer,kb. kilometer.
kilowatt,kb. kilowat. k. hour jam kilowat.
kilt,kb. rok pendek yang dipakai orang Scot.
kilter,kb. Inf.: out of k. rusak.
kimono,kb. kimono.
kin,"kb. sanak, famili. She is k. to him Dia pamili dengan dia. Dia pamilinya."
kind,"kb. macam. to kinds of material dua macam bahan. -ks. baik hati, manis, sayang. kind-hearted ks. baik hati, peramah. k.-hearted person orang yang baik hati."
kindergarten,"kb. taman kanak-kanak, sekolah prebel."
kindle,kkt. 1 menyatakan (fire). 2 menghidupkan (the imagination). 3 mengobarkan. 4 membangkitkan (on interest) (in terhadap). -kki. 1 menyala. 2 bercahaya (of a fire). -kindling kb. kayu (ranting-ranting kecil).
kindliness,kb. kebaikan (hati).
kindly,"ks. yang penyayang, yang murah hati. -kk. dengan baik hati, sayang"
kindness,kb. 1 kebaikan (hati). 2 jasa. to do s.o. a k. berbuat jasa terhadap seseorang.
kindred,kb. keluarga. -ks. yang sama. k. spirit orang yang mempunyai perhatian yang sama.
kinetic,kb. kinetics j. ilmu gerak. -ks. kinetis. k. energy tenaga gerak.
kinfolk,kb. =  KINSFOLK.
king,"kb. raja (ruler, chess). steel k. raja industri baja. Bible : Kings Raja-raja. k. crab belangkas. king-size(d) ks. 1 berukuran besar (of a bed). 2 ukuran panjang (of cigarettes)."
kingdom,kb. kerajaan. K. pf Bhutan Kerajaan Bhutan. 2 dunia.  animal k. dunia hewan. K. of Heaven Sorga.
kingfisher,kb. (burung) pekakak.
kingly,ks. seperti raja. He has a k. appearance Dia mempunyai tampang seorang raja.
kingpin,"kb. Inf.: orang yang paling penting, tokoh, gembong."
kingship,kb. pangkat/martabat raja.
kink,"kb. kekusutan (in rope or line). 2 kekejangan, kekakuan, perasaan kaku."
kinky,"ks. keriting, sangat kusut."
kinsfolk,kb. kaum keluarga/kerabat.
kinship,"kb. kekeluargaan, pertalian keluarga."
kinsman,kb. (j. -men). sanak.
kiosk,kb. kios.
kiss,kb. 1 ciuman. -kkt. mencium. to take e. o. saling berciuman. -kki. bercium(an). k. of death sesuatu yang merugikan. -kissing kb. bercium(an). k. kin famili rapat.
kisser,kb. 1 pencium. 2 Sl.: mulut.
kit,"kb. 1 kotak. 2 peti. 3 buntil, ransel (for traveling). the whole k. and caboodle seluruh keluarga, gerombolan, rombongan."
kitbag,kb. tas barang-barnag perlengkapan.
kitchen,kb. dapur. k. cabinet lemari dapur. k. sink tempat mencuci piring. k. stove kompor.
kitchenette,kb. dapur kecil.
kitchenware,kb. alat-alat dapur.
kite,kb. layang-layang. to fly a k. a) bermain layang-layang. b) Sl.: enyah. -kki. Inf.: pergi. to k. off to Europe pergi ke Eropah. to k. a long Inf.: meluncur dengan cepat.
kith,"kb. kawan-kawan, kenalan-kenalan. k. and kin handai -tolan dan sanak keluarga."
kitten,"kb. anak kucing. Sl.: to have kittens gelisah, sangat terganggu."
kittenish,ks. genit.
kitty,"kb. (j. -ties) 1 kucing. K.! K.!  Pus ! Pus ! 2 (funds) celengan, kotak pot."
klaxon,"kb. klakson, sirene."
kleenex,kb. sapu tangan kertas.
kleptomania,kb. kleptomani.
kleptomaniac,"kb. orang yang suka mencuri, orang yang berpenyakit panjang tangan."
km,[kilometer] kilometer. km2 ( kilometer persegi).   km3 ( kilometer kubik).
knack,"kb. kepandaian khusus, ketangkasan. to have the happy k. of doing the right thing memiliki ketangkasan untuk mengambil/ melakukan tindakan yang tepat."
knapsack,"kb. ransel, buntil."
knave,kb. 1 bangsat. 2 Bridge : yonker.
knead,"kkt. menguli, meremas, meramas, mengadoni."
knee,kb. lutut. on bended k. dengan berlipat/bertekuk lutu. -kkt. mengenai/menggebuk dengan lututnya. knee-deep ks. 1 setinggi lutut.  2 terbenam.  knee-high ks. setinggi lutut.
kneecap,kb. tempurung lutut.
kneel,kki.(knelt) 1 berlutut. to k. to pick up s.t. berlutut untuk memungut sesuatu. 2 bersujud. to k. in prayer (with the forehead on the ground) bersujud melakukan sembahyang.
kneepad,kb. pelindung lutut.
knell,kb. bunyi lonceng yang dibunyikan perlahan-lahan. -kki. berbunyi dengan perlahan-lahan
knelt,lih  KNEEL.
knew,lih  KNOW.
knickers,"kb., j. celana tanggung."
knickknack,kb. perhiasan kecil.
knife,kb. (j. knives) pisau. to put the k. in s.o. and twist it menusukkan pisau pada (tubuh) seseorang. lalu memutarkannya. Inf.: to go under the k. mengalami pembedahan. -kkt. 1 menikam (dengan pisau). 2 menghantam/mengalahkan. knife-edged ks. tajam.
knifepoint,kb.ujung pisau. to rob s.o. at k. membegal seseorang dengan ancaman pisau belati.
knight,kb. 1 k(e)satria. 2 Chess : kuda. -kkt. memberi gelar bangsawan kepada.
knighthood,kb. kesatriaan.
knightly,ks. (bersifat) kesatriaan. k. deed perbuatan kekesatriaan.
knit,"kkt. (knitted) merajut (sweater). -kki 1 merajut. 2 bersambung kembali, bersatu kembali (of bones). -knitted,knit ks. yang dirajut.k. garment pakaian yang dirajut. -knitting kb. pekerjaan rajutan. k. needle jarum rajut."
knitwear,kb. pakaian hasil rajutan.
knives,lih  KNIFE.
knob,"kb. 1 tombol, kenop (door, TV set). 2 pegangan (umbrella). 3 kepala (cane)."
knobby,ks. yang menonjol.
knock,knock
knockabout,ks. sehari-hari. to wear casual k. clothes memakai pakaian asal saja.
knockdown,"kb. pemukulan/penjotosan sampai roboh, pukulan yang menjatuhkan lawan. Sl.: knockdown-drag-out ks. hebat sekali. k.-drag-out fight perkelahian yang hebat sekali."
knocker,kb.pengetuk.
knockout,"kb. 1 k.o., pukulan yang membuat lawan tidak berdaya. 2 Sl.: orang atau barang yang menyolok/ mempesonakan."
knoll,"kb. bukit kecil, busut."
knot,knot
knothole,kb. lobang yang terdapat pada papan bekas dahan/mata kayu.
knotty,"ks. 1 bermata (pada kayu). k. pine kayu cemara yang bermata. 2 rumit, ruwet (problem)."
know,"kb. in the k. tahu. s.o. in the k. orang dalam (yang mengetahuinya). -kkt. (knew, known) 1 kenal pada, mengenal. 2 tahu. 3 menguasai. 4 mengetahui. know-(it)-al kb. orang yang serba tahu.know-how kb. kecakapan tehnik, ketrampilan."
knowkedgeable,ks. yang banyak mengetahui. yang berpengetahuan banyaik.
knowledge,kb. 1 pengetahuan. 2 ilmu pengetahuan. 3 kekuasaan.
known,lih  KNOW.
knuckle,"kb. 1 Anat.: buku jari. rap on the k. teguran pedas, celaan. 2 tulang kaki babi. -kki. to k. down membanting tulang. to k. under mengalah, menyerah kalah."
knucklebone,kb. tulang buku jari.
knucklehead,kb. Sl.: orang bodoh.
kodak,"kb. kodak, alat potret/pemotret, kamera."
kooky,"ks. Sl.: aneh, ganjil, istimewa."
koran,kb. Qur'an.
korean,kb. 1 orang Korea. 2 bahasa Korea.
kosher,"ks. 1 halal. k. meat daging yang halal. 2 jujur, baik. What you have in mind is not k.  Apa yang ada di pikiranmu itu tidak baik."
kowtow,"kkt. 1 bersujud/berlutu sampai ke tanah (to a superior). 2 menjilat, mengambil muka."
kris,kb. keris.  =  CREESE.
kt.,[karat] karat.
kudos,"kb., j. Inf.: pujian."
kw.,[kilowatt] kilowat.
ky.,[Kentucky] negarabagian di A.S.
